data-ora,ip_src,ip_dst,tcp_src,tcp_dst,host,protocol
2024-09-13 23:49:33,172.23.55.28,34.120.208.123,49230,443,incoming.telemetry.mozilla.org,HTTPS
2024-09-13 23:49:33,172.23.55.28,34.36.165.17,32998,443,tiles-cdn.prod.ads.prod.webservices.mozgcp.net,HTTPS
2024-09-13 23:49:33,172.23.55.28,34.120.237.76,44842,443,img-getpocket.cdn.mozilla.net,HTTPS
2024-09-13 23:50:03,172.23.55.28,92.205.170.149,33404,443,www.smi-group.it,HTTPS
2024-09-13 23:50:06,172.23.55.28,142.250.180.174,51584,443,translate.google.com,HTTPS
2024-09-13 23:50:11,172.23.55.28,216.58.204.227,59664,443,www.gstatic.com,HTTPS
2024-09-13 23:50:15,172.23.55.28,142.251.209.35,52134,443,ssl.gstatic.com,HTTPS
2024-09-13 23:50:43,172.23.55.28,89.46.105.55,37110,443,www.tarabianca.org,HTTPS
2024-09-13 23:50:43,172.23.55.28,89.46.105.55,37096,443,www.tarabianca.org,HTTPS
2024-09-13 23:50:43,172.23.55.28,109.70.240.114,39550,80,ocsp06.actalis.it,HTTP
2024-09-13 23:50:43,172.23.55.28,109.70.240.114,39554,80,ocsp06.actalis.it,HTTP
2024-09-13 23:50:48,172.23.55.28,185.125.190.98,36100,80,connectivity-check.ubuntu.com,HTTP
2024-09-13 23:50:57,172.23.55.28,109.70.240.114,39550,80,ocsp06.actalis.it,HTTP
2024-09-13 23:50:57,172.23.55.28,142.250.180.138,33250,443,fonts.googleapis.com,HTTPS
2024-09-13 23:50:57,172.23.55.28,142.250.180.138,33238,443,fonts.googleapis.com,HTTPS
2024-09-13 23:50:58,172.23.55.28,142.250.180.138,33232,443,fonts.googleapis.com,HTTPS
2024-09-13 23:50:58,172.23.55.28,142.251.209.10,52192,443,maps.googleapis.com,HTTPS
2024-09-13 23:50:58,172.23.55.28,142.251.209.10,52200,443,maps.googleapis.com,HTTPS
2024-09-13 23:50:58,172.23.55.28,142.250.180.138,33278,443,fonts.googleapis.com,HTTPS
2024-09-13 23:50:58,172.23.55.28,142.250.180.138,33266,443,fonts.googleapis.com,HTTPS
2024-09-13 23:50:58,172.23.55.28,142.250.180.138,33254,443,fonts.googleapis.com,HTTPS
2024-09-13 23:50:58,172.23.55.28,142.250.180.170,34492,443,safebrowsing.googleapis.com,HTTPS
2024-09-13 23:50:58,172.23.55.28,142.250.180.131,42930,80,o.pki.goog,HTTP
2024-09-13 23:50:58,172.23.55.28,142.250.180.131,42946,80,o.pki.goog,HTTP
2024-09-13 23:50:58,172.23.55.28,142.250.180.131,42966,80,o.pki.goog,HTTP
2024-09-13 23:50:58,172.23.55.28,142.250.180.131,42962,80,o.pki.goog,HTTP
2024-09-13 23:50:58,172.23.55.28,142.250.180.131,42958,80,o.pki.goog,HTTP
2024-09-13 23:50:58,172.23.55.28,216.58.205.46,58716,443,www.youtube.com,HTTPS
2024-09-13 23:50:58,172.23.55.28,216.58.205.46,58720,443,www.youtube.com,HTTPS
2024-09-13 23:50:58,172.23.55.28,146.75.61.21,39548,443,www.paypal.com,HTTPS
2024-09-13 23:50:58,172.23.55.28,146.75.61.21,39538,443,www.paypal.com,HTTPS
2024-09-13 23:50:58,172.23.55.28,142.250.180.131,42930,80,o.pki.goog,HTTP
2024-09-13 23:50:58,172.23.55.28,216.58.204.131,57852,443,fonts.gstatic.com,HTTPS
2024-09-13 23:50:58,172.23.55.28,216.58.204.131,57836,443,fonts.gstatic.com,HTTPS
2024-09-13 23:50:58,172.23.55.28,216.58.204.131,57812,443,fonts.gstatic.com,HTTPS
2024-09-13 23:50:58,172.23.55.28,216.58.204.131,57800,443,fonts.gstatic.com,HTTPS
2024-09-13 23:50:58,172.23.55.28,216.58.204.131,57784,443,fonts.gstatic.com,HTTPS
2024-09-13 23:50:58,172.23.55.28,216.58.204.131,57828,443,fonts.gstatic.com,HTTPS
2024-09-13 23:50:58,172.23.55.28,192.229.221.25,50566,443,www.paypalobjects.com,HTTPS
2024-09-13 23:50:58,172.23.55.28,142.250.180.131,42966,80,o.pki.goog,HTTP
2024-09-13 23:50:58,172.23.55.28,192.229.221.25,50572,443,www.paypalobjects.com,HTTPS
2024-09-13 23:50:58,172.23.55.28,142.250.180.131,42958,80,o.pki.goog,HTTP
2024-09-13 23:50:58,172.23.55.28,142.250.180.131,42946,80,o.pki.goog,HTTP
2024-09-13 23:50:58,172.23.55.28,142.250.180.131,42962,80,o.pki.goog,HTTP
2024-09-13 23:50:58,172.23.55.28,142.250.180.131,42930,80,o.pki.goog,HTTP
2024-09-13 23:50:58,172.23.55.28,142.250.180.131,42966,80,o.pki.goog,HTTP
2024-09-13 23:50:59,172.23.55.28,142.251.209.10,52216,443,maps.googleapis.com,HTTPS
2024-09-13 23:50:59,172.23.55.28,216.58.205.35,49358,443,maps.gstatic.com,HTTPS
2024-09-13 23:50:59,172.23.55.28,216.58.205.35,49370,443,maps.gstatic.com,HTTPS
2024-09-13 23:51:00,172.23.55.28,216.58.205.42,59166,443,jnn-pa.googleapis.com,HTTPS
2024-09-13 23:51:00,172.23.55.28,216.58.205.34,46304,443,googleads.g.doubleclick.net,HTTPS
2024-09-13 23:51:00,172.23.55.28,142.250.180.150,42592,443,i.ytimg.com,HTTPS
2024-09-13 23:51:00,172.23.55.28,142.251.209.4,58314,443,www.google.com,HTTPS
2024-09-13 23:51:00,172.23.55.28,142.250.180.131,42966,80,o.pki.goog,HTTP
2024-09-13 23:51:00,172.23.55.28,142.250.180.131,42962,80,o.pki.goog,HTTP
2024-09-13 23:51:01,172.23.55.28,142.250.180.131,42958,80,o.pki.goog,HTTP
2024-09-13 23:51:01,172.23.55.28,142.250.180.174,34016,443,play.google.com,HTTPS
2024-09-13 23:51:01,172.23.55.28,142.250.180.174,34022,443,play.google.com,HTTPS
2024-09-13 23:51:01,172.23.55.28,142.250.180.174,34032,443,play.google.com,HTTPS
2024-09-13 23:51:01,172.23.55.28,142.250.180.174,34044,443,play.google.com,HTTPS
2024-09-13 23:51:01,172.23.55.28,142.250.180.131,42946,80,o.pki.goog,HTTP
2024-09-13 23:51:01,172.23.55.28,216.58.204.225,52070,443,yt3.ggpht.com,HTTPS
2024-09-13 23:51:01,172.23.55.28,216.58.204.225,52086,443,yt3.ggpht.com,HTTPS
2024-09-13 23:51:01,172.23.55.28,142.250.180.131,42930,80,o.pki.goog,HTTP
2024-09-13 23:51:01,172.23.55.28,142.250.180.131,42962,80,o.pki.goog,HTTP
2024-09-13 23:51:01,172.23.55.28,216.58.204.134,43336,443,static.doubleclick.net,HTTPS
2024-09-13 23:51:01,172.23.55.28,216.58.204.134,43348,443,static.doubleclick.net,HTTPS
2024-09-13 23:51:01,172.23.55.28,142.250.180.131,42966,80,o.pki.goog,HTTP
2024-09-13 23:51:01,172.23.55.28,142.250.180.131,42958,80,o.pki.goog,HTTP
2024-09-13 23:51:01,172.23.55.28,142.250.180.131,42946,80,o.pki.goog,HTTP
2024-09-13 23:51:54,172.23.55.28,89.46.105.55,45290,443,www.tarabianca.org,HTTPS
2024-09-13 23:51:55,172.23.55.28,216.58.204.131,56448,443,fonts.gstatic.com,HTTPS
2024-09-13 23:51:55,172.23.55.28,142.251.209.10,36116,443,maps.googleapis.com,HTTPS
2024-09-13 23:51:55,172.23.55.28,216.58.205.35,38972,443,maps.gstatic.com,HTTPS
2024-09-13 23:51:55,172.23.55.28,142.250.180.138,38900,443,fonts.googleapis.com,HTTPS
2024-09-13 23:51:55,172.23.55.28,142.250.180.131,42930,80,o.pki.goog,HTTP
2024-09-13 23:51:55,172.23.55.28,142.250.180.131,42962,80,o.pki.goog,HTTP
